# triggered spontaneous
6.163161798849414730e-02 6.317590398804649732e-02
5.368999336899195340e-02 5.648949942812142577e-02
4.909227129146009894e-02 5.120115860763141402e-02
4.556944496753329715e-02 4.687937890622291548e-02
4.260689829656233441e-02 4.326718519706940907e-02
4.005784246873703852e-02 4.019576894435559350e-02
3.782950068463719617e-02 3.754828198072489298e-02
3.585831078375740361e-02 3.524017450352306263e-02
3.409796841199647099e-02 3.320846102249869897e-02
