# triggered spontaneous
6.163920629881438490e-02 6.296108556747856411e-02
5.500283035921667285e-02 5.614023613602524970e-02
5.094039678885491779e-02 5.076545067301366926e-02
4.761818302887205895e-02 4.638684050337742865e-02
4.479729500206120624e-02 4.273719633514373728e-02
4.234826520508853942e-02 3.964162037851068354e-02
4.018933428146045234e-02 3.697902149465268767e-02
3.826457056637096871e-02 3.466216115551308541e-02
3.653325344548204873e-02 3.262628028014957077e-02
